texte,label 
"Des écrans en fusion Avec des tablettes qui monopolisent l’attention, on pouvait être inquiet 
pour l’avenir du notebook. Et pourtant en cette fin d’année, la tendance 
s’inverse et les ordinateurs sont revenus sur le devant de la scène...",0
"Emil Ferris roule sa bille Deuxième volet, et deuxième succès, de «Moi, ce que j’aime, c’est les 
monstres», le colossal roman graphique de l’autrice américaine.",0
"Neil Gaiman, le mur du songe L’auteur anglais, passionné d’imaginaire, a écrit pour sa femme un roman 
sensible sur l’enfance devenu un best-seller.",0
"Pierre Lottin, sur la brèche Mélomane et militariste de gauche, l’acteur omniprésent abonné aux 
personnages rêches est à l’affiche du film «En fanfare».",0
"Léa Salamé, timbale libanaise A 35 ans, la journaliste née à Beyrouth frémit à France Inter et chez 
Ruquier. Deux attentats ont ponctué sa vie d’avant.",0
"Pollution plastique : urgence 

Les délégués de 175 pays sont réunis cette semaine à Busan, en Corée du 
Sud, pour négocier un traité international contraignant sur la pollution 
plastique.
",0
"Antoon Krings, bêtes de gloire Mireille l’abeille ou Loulou le pou ont vu le jour sous la plume de 
l’auteur et dessinateur jeunesse, à la tête depuis trente ans d’un 
bestiaire coloré et innocent.",0
"John Malkovich. Le prince Malko Jouant un Casanova finissant, l’acteur-réalisateur-créateur de mode et 
chanteur d’opéra, s’affiche heureux de vivre.",0
"Bernard Pruvost – Grand Quinquin Rencontre appréciée avec l’attachant acteur non professionnel qui a joué le 
commandant dans «P’tit Quinquin», la série d’Arte.",0
"Enchanté Julia, groove vibrations Une scène soul en français est en train d’éclore. Le premier album de 
l’autrice-compositrice-interprète le prouve de la plus élégante des 
manières.",0
"Boualem Sansal, esprit de lumière L’écrivain algérien, ancien ingénieur et haut fonctionnaire, poursuit 
inlassablement sa lutte solitaire contre l’islamisme et un pouvoir 
compromis.",0
"Puis-je encore rêver d’Amérique ? Notre journaliste, qui rêve de New York depuis l’enfance, s’interroge sur 
le désamour qui pourrait naître après les résultats de l’élection 
présidentielle américaine.",0
"Trois cartes de voeux pour l’Elysée Présidence. Quelle année 2006 pour Jacques Chirac ? Des personnalités lui 
adressent leurs souhaits via «Libération».",0
"Marine Le Pen, l’improbable martyre Cette semaine, dans notre newsletter consacrée à ce que la presse étrangère 
écrit de meilleur et de pire sur l’Hexagone : justice et complot au 
Rassemblement national.",0
"Conchita Wurst, la cantatrice barbue Sur scène au Crazy Horse, ce chanteur travesti, gagnant de l’Eurovision, 
réinvente le stéréotype de la femme à barbe.",0
"Les beaux frissons du cinéma français A l’image d’« Animale », d’Emma Benestan, les productions françaises n’ont 
plus peur de se confronter à l’horreur, au paranormal ou au fantastique.",0
"« Last Dance ! », pas de deux en solo 

Dans cette comédie tendre, un septuagénaire se retrouve à la mort de son 
épouse au cœur d’un spectacle de danse contemporaine en raison d’un serment 
échangé avec elle.
",0
"Théâtre : au Lucernaire, Bach forever 

Quatre femmes dans le vent de la musique irrésistible de Jean-Sébastien 
Bach charment et réjouissent le public du Lucernaire, à Paris, jusqu’au 
12 janvier 2025. Un spectacle idéal à l’approche des fêtes.
",0
"Gaëlle Bourges. Que danse le regard nu Passée par le strip-tease, cette danseuse et chorégraphe de 47 ans 
expérimente la nudité des corps et le désir tenu à l’œil.",0
"Nana Mouskouri, elle ne regrecque rien Longs cheveux de jais et immuables lunettes carrées, la chanteuse née en 
Grèce repart en tournée pour fêter ses 80 ans. .",0
"Sommes-nous tous des mauvais perdants ? Mauvaise perdante, notre journaliste s’interroge sur ce que le jeu dit de 
notre personnalité, et surtout de celles des autres.",0
"Christian Pellerin, l’atour de la Défense Flamboyant et détesté, ruiné puis revenu aux affaires, ce promoteur 
immobilier a construit le quartier de la Défense.",0
"Comment parler de la mort à ses enfants ? L’esquive ne pouvant pas durer indéfiniment, notre journaliste s’interroge 
sur la manière d’évoquer avec ses enfants la disparition d’un proche.",0
"Fin de vie : où en est le projet de loi ? 

Le texte d’émanation gouvernementale, qui devrait légaliser sous conditions 
« l’aide active à mourir », doit être remis fin septembre au président 
Macron.
",0
"Les îles que la France ne veut pas lâcher Cette semaine, dans notre newsletter consacrée à ce que la presse étrangère 
écrit de meilleur et de pire sur l’Hexagone : la Nouvelle-Calédonie en 
grande détresse.",0
"Budget 2025 : et soudain, le Sénat exista Bien plus conciliants que les députés, les sénateurs se réjouissent d’être 
courtisés par l’exécutif alors qu’ils ont entamé, lundi 25 novembre, 
l’examen du projet de loi de finances.",0
"Anne-Laure Compoint. Spécialiste du poulet Jeune, jolie et accrocheuse, cette avocate s’est spécialisée dans la 
défense des policiers vifs de la gâchette et des flics ripoux.",0
"Excenevex : un incendie détruit une maison Un couple d’une soixantaine d’années résidant à Excenevex a vu sa maison 
détruite par les flammes ce samedi 22 novembre, vers 18 heures.",0
"Alaa El Aswany, si l’Égypte m’était contée 

Malgré son exil aux États-Unis, l’auteur du très populaire L’Immeuble 
Yacoubian garde un contact privilégié avec l’Égypte, matière première de 
ses récits, à travers lesquels il vise le « plaisir » de lire.
",0
